title,date,star,text
Je ne peu pas encore me prononcer,2020-11-01T10:07:49Z,3,
Rien à redire!,2020-10-31T18:08:36Z,5,"Rien à redire!On est averti à chaque opération, tout est très sécurisé. Les taux d’intérêts débiteurs sont très faibles 😊"
Surtout pas !!,2020-10-31T15:32:33Z,1,"Jamais pu me connecter en revanche mon compte a bien été créer lorsque j'appel les lignes d'aide, aucune réponse apporté, la messagerie auto : idem, en boutique orange "" on ne gère pas orange bank "" Bref ne comptez pas sur moi pour payer les 5 euros par moi que vous prélevez automatiquement et je compte récuperer mes 50e nécessaire a ouvrire le compteEn tout cas votre affaire est bien ficelé pour pomper les gens"
RUPTURE TOTALE DU PARCOURS CLIENT,2020-10-30T16:32:28Z,2,"RUPTURE TOTALE DU PARCOURS CLIENT unebank 0 frais mais surtout 0 tout court ... ce n 'est parce que c 'est gratuit que ca doit etre proche de la nullité en terme de suivi ! l'appli est plutot intuitive et bien faite, tout se corse quand vous avez un souci mineur ou majeur ! suivi client catastrophique : depuis mars 2020 impossible d'avoir le standard tel pour échanger avec un conseiller alors oui il y a bien un tchatbot mais ou bout de 3mn de questions débiles il vous renvoie vers un conseiller temps d'attente 2mn et personne car le tél raccroche de lui même ou 20mn et personne. passons donc personne à joindre depuis le mois de mars soi disant 8H-20h puis 9H-17H en tant de crise mais jamais la possibilité de les joindre.mon histoire 140€en fraude sur internet - une demande des services orange bank qui vous contacte pour produire une plainte (envoyée le 4 sept) et depuis impossible d 'avoir un suivi ! aucune communication possible pour faire avancer le dossier, pire des que vous faites une demande sur l'appli ils l'a traite en ""TRAITEE"" en vous envoyant un joli mail ""nous avons traitée votre demande"" oui mais encore ? rien ....29 sept une demande par mail de orange bank de justifier une somme arrivée sur mon compte avec une demande d'attestation sur l 'honneur et un exemple en pièce jointe à suivre ! OK normal c 'est dans le cadre de la lutte anti blanchiment. je fais le jour même et renvoi via l'appli et via le mail en réponse. depuis ma carte bleu est bloquée je ne peux ni faire de retrait ni payer ils ont bloqué ma carte depuis plus d'un mois car ils n'avaient pas lu mon mail !!!!!!! ni l'appli !!!! mais ma demande est ""traitée"" à ne rien y comprendre. début octobre un appel du service anti fraude (rien à vois avec ma plainte des 140€ ah dommage, rien à voir avec la lutte anti blanchiment non là c 'est la fraude on vous dit donc on est en silo) ""carte bleu compromise avec une tentative d 'achat sur internet"" ah ok donc ? il faut découper votre carte CB et en recommander une. chose faite réception une semaine plus tard ok mais elle est inutilisable car encore bloquée !!! aprés 3 semaines de lutte pour joindre un conseiller su l 'applilui disant que je ne peux pas utiliser ma nouvelle carte il me réponds ""oui mais cette somme en septembre on attends votre justificatif "" Noooooon serieux ca fait un mois que c 'est réglé et quel rapport avec mon probleme ? pas de justif pas de CB !!!! nous attendons un justif spécifique pas une attestation, mais c 'est pourtant vous qui m 'avez contacter par mail le 29 sept avec un modèle d 'attestation jamais une demande de pièce justificative donc vous attendez quoi pour me demander ? que je meurs de faim sans pouvoir acheter à manger ? la situation est toujours en attente malgré ma pièce justificative fournie il y a 48H c 'est pitoyable un parcours client en rupture totale. Personne pour vous répondre ni lire les mails que l'on vous demande d'envoyer !"
Le montant et les conditions de…,2020-10-30T11:27:26Z,1,Le montant et les conditions de versement de la prime n'étaient pas du tout clairs
Quand je suis allez sur place chez…,2020-10-30T11:16:41Z,5,Quand je suis allez sur place chez Orange je suis toujours bien reçu toutle personnel est j'entill souriant et aimable c est peut être par ce que je ne fait pas la difficile
Service client déplorable,2020-10-29T11:05:11Z,1,Service client injoignable par téléphone et qui répond au moins 1 mois plus tard à une demande par email !
Impossible de me faire envoyer ma carte…,2020-10-29T03:08:17Z,1,"Impossible de me faire envoyer ma carte a l'étranger depuis 2 semaines malgré leurs promesses ( j'ai la carte premium) , des réponses a coté de la plaque à mes emails. J'ai eu le meme probleme avec Amex, ils ont réglé ca en 24h."
MASCARADE AVEC DES CONSEILLERS FANTÔMES,2020-10-28T22:47:26Z,1,"Alors, je vois qu'il y'a des personnes contentes de cette plaisanterie appelée ""O.BANK"". J'espère que vous n'aurez pas de tuile car de l'autre coté il n'y a personne. Beaucoup de problèmes techniques qui empêchent l'approvisionnement CB qui marche 1 fois sur 10 essais. Des frais de rejet abusifs alors qu'on applique la règle conseillée sur le chat...Bref, beaucoup à dire. Je me suis fait avoir comme beaucoup d'autres alors j'avertie. Après essai, ce n'est pas vraiment une banque. Elle disparaîtra aussi vite qu'elle est venue"
J'ai un compte avec débit immédiat,2020-10-28T21:47:30Z,1,"J'ai un compte avec débit immédiat, mais j'ai des prélèvements qui se font après 2 semaines à chaque fois, ce qui pose problème puisqu'après je me retrouve à découvert (pourtant j'y ai pas droit."
Professionnalisme,2020-10-28T21:28:31Z,5,
100 % de résultat,2020-10-28T21:05:21Z,5,
Je suis extrêmement mécontent de Orange…,2020-10-28T11:41:00Z,1,Je suis extrêmement mécontent de Orange Bank qui ne m’apporte aucun renseignement ni service pour utiliser mon compte bancaire on Line ....
Je suis très contente de orange bank…,2020-10-28T09:36:05Z,5,Je suis très contente de orange bank jamais de soucis particulier recommande a 100% seul bémol ma demande de carnet de chèque a été refuser alors qu'il autorise un découvert
Je suis très satisfait du service de orange bank,2020-10-28T08:52:57Z,5,Je suis très satisfait du service de l'application des débits automatique de l'utilisation sur internet. Rien à signaler franchement bravo à toute l'équipe.
Bonne banque mais...,2020-10-28T07:35:24Z,3,"Bonne banque réceptive et rapide, mais change de fonctionnement et supprime l'assurance vie quotidienne qui m'a décidé à y ouvrir un compte, c'est la raison pour laquelle je me questionne quant à mon départ."
Bonne banque mais pb en cas de demande…,2020-10-27T16:00:59Z,3,"Bonne banque mais pb en cas de demande par tel, difficile d'avoir une personne en ligne"
Personne ne répond au téléphone,2020-10-27T15:40:36Z,3,Personne ne répond au téléphoneLes demandes sont longue à être géré
Bonne banque,2020-10-27T13:17:40Z,4,"Bonne banque, sans surprise. J'enlève une étoile car la spécificité de cette banque est qu'elle offrait des assurances très très pratiques. Malheureusement, ce service disparaît au 31.12.2020. Quel dommage! La banque y perd en intérêt."
Carte et compte très pratiques,2020-10-25T20:35:00Z,5,"Carte et compte très pratiques, j'apprécie tout particulièrement la possibilité de consulter le solde en temps réel."
Jusqu’à là j’étais satisfaite,2020-10-25T20:19:05Z,1,"Jusqu’à là j’étais satisfaite. Depuis 3 semaines je ne peux plus me connecter sur mon compte, j’essaye désespérément de me faire aider mais personne ne me répond.Je pense que je vais quitter la banque"
De plus en plus cher :(,2020-10-24T08:55:30Z,3,"Pour un débit immédiat et usage courant fait le job.Par contre plus de débit différé à moins de prendre des abonnements inutiles ; d'ailleurs toute l'offre tend à voir des abonnements payants nécessaires ou à vous faire payer les services offerts initialement, dommage !Manque encore compte joint, épargne, etc..."
Ridicule,2020-10-23T22:20:53Z,1,"Des montants débités qui disparaissent, qui réapparaissent 10 jours après, pendant que d'autres disparaissent qui réapparaîtront plus tard. D'une on ne sait jamais combien on a dépensé, d'autre part la carte se bloque parceque subitement il n'y a plus de provision, mais surtout... Qu'une soit disant banque ait de tel soucis informatique ça fait vraiment peur ! Orange Bank c'est le Mediapro de la banque. Un amateurisme grotesque."
"Une banque facile à gérer,les virements…",2020-10-23T18:34:51Z,5,"Une banque facile à gérer,les virements sont immédiats ainsi que lors d’achats le solde est immédiat"
Personne compétente,2020-10-23T17:20:36Z,4,"Personne compétente, à l'écoute."
la première fois cela a était galère,2020-10-23T14:41:06Z,2,"la première fois cela a était galère. Heureusement que la caisse où je suis passée maitrisait mieux que moi.Dans mes commerces classiques, pas encore assez courant donc on reprend la carte bancaire"
Nul nul nul,2020-10-23T14:22:29Z,1,"Nul nul nul. Je n'ai jamais réussie à ouvrir un compte, malgré l'envoi répété de toutes les pièces justificatives. Je suis très très déçue."
Pratique,2020-10-23T14:11:01Z,5,"Pratique , simple et efficace le compte Orange Bank ! J'en suis ravie!"
Impossible d avoir une assistance…,2020-10-23T11:05:29Z,1,Impossible d avoir une assistance téléphonique !!!!
pratique tout est clair perso j en suis…,2020-10-23T08:52:27Z,5,pratique tout est clair perso j en suis très content
Très bien,2020-10-23T08:48:15Z,5,Toute l’équipe est très réactive. Carte reçu au bout de quelques jours. Très bonne banque
TRÈS SATISFAIT,2020-10-23T08:47:46Z,5,"Bonjour,Très satisfait d'OrangeBank. L'application est très pratique, facile à utiliser.Utilisation quasi quotidienne"
très bonne banque,2020-10-23T08:17:00Z,5,"très bonne banque qui répond à tous nos problèmes.Pas de frais , quand on suit les consignes d'utilisation , cela est très appréciable."
Cettebanque n’en n’est pas une une…,2020-10-23T07:51:55Z,1,Cettebanque n’en n’est pas une une catastrophe des heures avant d’avoir quelqu’un par TCHAT des informations contradictoires données pire refus d’occtroyer un chéquier
"Facile et pratique, mais service client difficile à joindre",2020-10-23T07:43:12Z,4,"Facile (ouverture du compte très rapide, emploi au quotidien très aisé). Très pratique avec le solde en temps réel. Le petit bémol : pas simple d'entrer en contact avec le service client en cas de besoin."
Merci de votre retour,2020-10-23T07:27:40Z,5,"Merci de votre retour, je précise: j'ai fait part à pratiquement tous les établissements de mon inquiétude à ouvrir un compte bancaire en ligne aux vues de tous les avis négatifs. Une seule banque Orange Bank m'a répondu, du coup j'y ai ouvert un compte. Je n'hésiterai pas à revenir donner mon avis !"
J ai parrainer un ami mais il n à…,2020-10-23T05:56:14Z,3,J ai parrainer un ami mais il n à jamais pu ouvrir son compte 3 essai non OK...
Très bien,2020-10-23T04:32:22Z,4,"Très bien, très pratique, sans frais 😊"
Aucune explication,2020-10-22T22:01:52Z,4,"Une option de service proposés par la carte m'est refusée par Orange Bank, sans que l'on m'en donne la raison."
Ce que j'aime c'est la facilité de…,2020-10-22T19:14:42Z,5,"Ce que j'aime c'est la facilité de gérer son compte avec un solde a jour en temps réel, la possibilité d'effectuer les virements très rapidement. Et des frais de banque inexistant, tout en ayant la possibilité d'avoir un conseiller si une question qui dépasse le robot. Je conseille fortement orange bank"
Malheureusement mauvais suivi des…,2020-10-22T19:02:35Z,1,Malheureusement mauvais suivi des clients
A FUIR SI VOUS VOULEZ ÉVITER LES PRISES DE TÊTE,2020-10-22T18:03:12Z,1,"A FUIRC’est tout sauf une banque. Du grand n’importe quoi.Même si vous avez de l’argent, vous pouvez vous retrouver bloqué n’importe quand et sans possibilité de contacter le service client qui en réalité n’existe pas. La seule chose à faire est d’écrire une réclamation et d’attendre qu’on daigne y répondre.Le 19/10/2020 matin, j’avais 106€ sur mon compte puis vers 15h je voulais l’alimenter et je me retrouve avec un solde de -267€ alors que je n’avais fait aucune opération ce jour.Le lendemain, je consulte à nouveau mon compte, mon solde affiche -257€. Il y a un mieux, on m’a rendu 10€!Aujourd’hui le 22/10/2020, je suis toujours bloqué sans réponse à mes réclamations et impossible de contacter le service client.Le seul recours qu’il me reste est de contacter l’ACPR."
C'est fiable c'est intuitif je n'ai eu…,2020-10-22T17:14:13Z,5,C'est fiable c'est intuitif je n'ai eu aucune mésaventure avec cette application je l'utilise avec confiance
A fuir de toute Urgence. Un florilège de promesses non tenues,2020-10-22T17:03:18Z,1,"Si vous avez besoin d'eux surtout ne pas utiliser l'application ou le téléphone ce sont des heures (jusqu'à 8h sur l'application) de perdu. Non Facebook ou Twitter un petit message et là c'est même eux qui vous appel.(Regardez leur réponse c'est encore faux alors oui de 8h a 20h le chatbot répond aux questions simples pour ce qui est d'avoir un humain face à vous j'ai patienté plusieurs heures dont une fois plus de 8h sans réponse et si vous signalez que vous attendez le robot répond ""oui un expert va bientôt vous prendre"". Quant à la réaction sur les réseaux sociaux si vous les contactez en MP sur Messenger pas de réponse par contre si vous raccontez votre problème sur la page Facebook d'orange Bank la ca répond. On n'a pas envie de devoir en arriver là...)La réponse ci-dessous est typique de leur état d'esprit... Je suis rester connecter de 8h à 20h au chat en attendant qu'ils répondent. Et maintenant c'est ma faute j'ai pas dû faire ce qu'il faut... Écrire au web master pourquoi? Pour qu'il me pressente des excuses je m'en tamponne de vos excuses je voulais le remboursement des frais indûment vos ""experts"" mon dit Impossible. Très bien Ciao bye bye puisque le service et l’écoute ne sont pas au rendez vous..."
L'appli Orange Bank est facile à…,2020-10-22T17:01:31Z,5,"L'appli Orange Bank est facile à utiliser. Je recommande cette carte bancaire gratuite qui peut aussi vous rapporter de l'argent à chaque parrainage. Je l'utilise en 2ème solution de paiement, comme porte monnaie électronique pour de petits achats."
Dossier a remplir plus long qu'il n'y…,2020-10-22T13:30:39Z,5,"Dossier a remplir plus long qu'il n'y paraît, il a fallu environ 10 jours pour ouvrir le compte."
L'ouverture du comptec'est très bien…,2020-10-22T09:30:09Z,4,"L'ouverture du comptec'est très bien passé,j'ai eu les explications dont j'avais besoin. Merci"
très bien…,2020-10-22T01:13:01Z,5,pour le moment je n'ai rien à dire c'est très bien.
Banque fantôme,2020-10-21T14:16:21Z,1,Une banque qui ne fonctionne que quand on n'a aucun pb sinon elle se transforme en banque fantôme. Aprèsavoir étécontactépar Orange bank pour une suspicion de fraude je découvre qu'un mois après il n'y a pas eu d'opposition sur cette carte malgré ma demande. Je finis par recevoir 1 nouvelle carte mais impossible de recevoir un code par SMS pour aller sur mon compte .Il y a plus d'un mois que je demande ce code sans pouvoir l'obtenir.Impossible de joindre cette banque par téléphone..la communication se coupe.Je pense que je vais quitter cette banque rapidement car je n'ai plus confiance.
Le service technique engorgé? Pas de problème Mme Zohra est là !,2020-10-21T11:08:01Z,5,"Je vais mettre 5* pour Madame Zohra qui a était très efficace, je vous remercie encore ! Elle a rattraper à elle seule la réputation de orange bank franchement elle mérite une augmentation de salaire sont dévouement m’a vraiment toucher d’ailleurs si vous lisez mon commentaire c’est avec plaisir que je prendrais un verre avec vous à mes prochains voyage en métropole :)"
aucune réactivité aucune proposition de solution,2020-10-21T09:00:36Z,1,"Service client nul, opérations du début du mois débitée dimanche je me retrouve à -250€, je n'arrive pas à les contacter ni au téléphone ni via le chat de l'application, ils ne me proposent aucune solution, je demande la mise en place d'un découvert autorisé temporaire pour éviter les frais (car bien sur je vais avoir des frais à cause de ça) via twitter, ma demande est en attente depuis 3 jours !! impensable de ne pas avoir de réactivité de la part de sa banque quand justement c'est un service aussi primordiale ... je vais clôturer mes comptes chez eux au plus vite si cela n'est pas régler rapidement."
Tout marche très bien pour le moment!,2020-10-21T07:40:18Z,5,
Bien sens plus aurait pu être mieux,2020-10-20T12:21:03Z,3,
A FUIR 😡😡😡Moi aussi même pb -57e…,2020-10-20T05:16:52Z,1,A FUIR 😡😡😡Moi aussi même pb -57e pour une opération faite le 2 octobre et débitée qu’au 19 octobre. Pensant meme à une fraude je l’ai contesté et finalement c’est bien moi mais le pb c’est que orange est injoignable depuis hier même le tchat du coup je pense fermer mon compte car c’est inadmissible qu’on n’arrive pas à joindre une banque toute une journee😡😡😡😡😡😡😡
Exactement le meme probleme que les…,2020-10-19T16:54:56Z,1,"Exactement le meme probleme que les personne en dessous mon compte vient de diminuer de 100euros parce que des operations datant d’il y a 10 jours viennent de passer ?? Mais elles etaient deja compte dans mon solde . Je ne comprends rien , du coup j’ai un trou de 100 euros sur mon compte et je ne sais pas quoi faire car autant le dire le service automatique sert a rien et impossible d’avoir quelqu’un en ligne depuis mai , c’est la pire experience de banque en ligne en decembre je pars de chez orange bank je n’ai jamais vu un service aussi deplorable."
commes les deux personnes en dessous,2020-10-19T16:44:41Z,1,"commes les deux personnes en dessous , gros problème je me vois débité 2 fois des montants que j'ai realisé il y a 2 semaines, j'essaye de contacter le service client par telephone, personne, je parle avec l'ia artificielle pour avoir un expert et même le propre expert ne sait point ce qu'il dit , il me dit que mon solde est bien le bon.( alors pourquoi ai-je subitament tomber a -100€ en une journée alors que c'est un compte a débit immédiat et que je n'es pas realisé d'achat hier???? surtout que les achats débité sont ce de il y a 3 semaines, qui avait déjà été débité auparavant.) j'espère que tout ça s'arrangera d'ici demain. sinon la maif s'occupera de cette incident auprès d'eux Ps: et j'oublie quand on demande a parler a un supérieur hiérarchique ils nous disent c'est pas possible mdr super ça met en confiance"
Assez mécontent du service client..,2020-10-19T11:00:23Z,1,"Assez mécontent du service client... Service inexistant à part une intelligence artificielle qui n'a que le nom d'intelligence. Impossible d'avoir un conseiller dans leur chat et le service téléphonique est tout simplement HS à cause du coronavirus, il a bon dos le virus.Les demandes depuis votre profil sont ma foi assez aléatoires. J'ai fait une demande d'augmentation de plafond pour ma carte et résultat je me suis vu prélevé des opérations datant d'il y a 3 semaines. Ma carte est a paiement immédiat !Des conseillers inexistants, des techniciens visiblement pas à la hauteur ou pire un système informatique défaillant. Je ne vous conseille surtout pas d'y mettre votre argent ;)"
La seule chose bien dans cette banque,2020-10-19T07:41:56Z,1,"La seule chose bien dans cette banque, c’est les demandes et les réceptions de paiement par SMS. Le problème étant les doublons pour les carte bancaire à débit immédiat Les paiements sont en attente mais bien débité et une semaine après il se retrouve que le paiement a été débité deux fois l’application ne mets jamais à jour le solde réel du compte après plusieurs appels au service client on m’indique que mon compte est bien en positif et non négatif avec une demande d’actualisation de soldes ai demandé il sera établi sous 24 heures. Je ne vous conseille pas cette banque pour éviter tout souci et arrachage de cheveux"
Banque qui correspond parfaitement à…,2020-10-17T09:58:22Z,5,Banque qui correspond parfaitement à mes demandes.
"Pour le moment ,aucun problème.",2020-10-16T07:19:36Z,5,
Impossible d'utiliser ma carte visa et…,2020-10-15T13:27:17Z,1,"Impossible d'utiliser ma carte visa et pas de solutions , lamentable , je vais fermer mon compte"
Banque réactive,2020-10-15T12:48:27Z,4,"Banque réactiveRéponse dans les 2 jours, J ai toujours reçu une réponse et même pour un crédit Moi rien à redire sauf problème (2fois) sur l utilisation de la cb"
Je suis dans l'attente de l'ouverture…,2020-10-15T06:35:17Z,1,"Je suis dans l'attente de l'ouverture de mon compte depuis tellement longtemps octobre 2019 je crois et personne ne m'a aidé, appeléBonjour Mr vous voulez ouvrir un compte. Rien, que dalle apparemment vous avez pas besoin de client Bonne journée"
Le mammouth,2020-10-14T07:01:45Z,2,"Franchement, parmi toutes mes évaluations de banque en ligne, on n'est pas sur le haut du panier. Ca fait le job minimal tant qu'on ne demande rien.- Ca se la pète high tech pour un robot complètement nul qui masque juste la difficulté à avoir un conseiller.- Les demandes/réclamations prennent des semaines- Augmenter un plafond de CB se fait par demande en ligne --> des semaines (alors que des boursorama and co le font instantanément)Je m'en vais (au bout de deux ans d'évaluation mais sans intérêt) et même là c'est plus pénible que la plupart des banques (devoir numériser une attestation sur l'honneur de destruction de la CB alors qu'on a déjà indiqué le faire lors de la demande...)En gros, pas confort, ça se la pète mais c'est lent et pas du tout au niveau de ce que ça veut projeter comme image cool. Vous avez tellement de choix plus sérieux (Boursorama Bank, Fortuneo, Hello Bank, ING ...), passez votre chemin."
Oh la c'est compliqué...,2020-10-13T21:44:51Z,1,"Oh là, c'est compliqué. Chèque encaissé en un temps très long, courrier envoyé et aucune réponse apporté.Robot qui ne comprends rien."
Banque fantome. Grande arnaque.,2020-10-11T10:20:15Z,1,"Bonjour, 32 mil euros sont séquestrés sur notre compte Élancio (caution bancaire locatif) depuis fin août. Sans motif. Tout simplement il est impossible de récupérer notre argent. Les différents conseillers contactés se contredisent et sont impuissants à résoudre le problème. Des promesses de rappel ne sont pas tenues. En plus nos deux comptes bien approvisionnés sont régulièrement bloqués pour tout paiement. Nous n’avons pas accès à notre argent. Situation kafkaïenne."
Désolé pas assez d’expérience je…,2020-10-10T10:12:28Z,4,Désolé pas assez d’expérience je découvre
Pour une première connexion en…,2020-10-10T09:20:28Z,2,"Pour une première connexion en comparaison à mes autres comptes en ligne, pas très ludique surtout si on utilise que le mobile pour faire ses démarches. Le virement immédiat n'est pas si immédiat que ça juste pour un petit montant c'est trop long."
Très bien reçu par conseillère de Orange des arcade qui a été très très professionnelle merci,2020-10-10T09:13:04Z,5,très bien reçu par conseillère de Orange des arcade qui a été très très très très professionnelle merci
Merci pour cette nouvelle application,2020-10-09T13:23:11Z,5,
Impossible de regler avec mon portable…,2020-10-08T21:39:54Z,2,Impossible de regler avec mon portable comme on me l avez indique
Ça fait 10 jours que j'essaie de…,2020-10-07T14:09:51Z,1,Ça fait 10 jours que j'essaie de contacter orange manques à chaque fois ça me raccroche au nez ça devient compliqué ça marche pas non plus quand je veux envoyer un message ça marque service indisponible depuis plus de 10 jours j'ai des sous sur mon compte et ma carte me marque tout le temps paiement refusé comment faire pour régler le problème c'est l'enfer orange bank alors je sais que le modérateur orange bank va me marquer Messi vais contacter quelqu'un mais c'est fou depuis 10 jours j'essaie et votre service téléphone et déplorable comment fait-on pour les joindre au téléphone c'est quand même hallucinant en 2021 on arrive pas avoir une banque au téléphone
L'expérience a été excellente,2020-10-07T11:44:49Z,5,"L'expérience a été excellente, rien à rajouter."
Impossible de joindre un conseiller au…,2020-10-06T20:15:38Z,3,Impossible de joindre un conseiller au téléphone !
Orange Bank ..,2020-10-06T17:26:09Z,1,Orange Bank ... la pire banque en ligne. 0 service.Plein de refus de paiement mobile sans raison.Personne répond jamais au téléphone. En support un assistant virtuel qui sert à rien à part renvoyer sur les FAQ du site..Un simple changement de numéro de téléphone est un cauchemar. A coté j'ai aussi une carte Fortunéo et Service au top par rapport à Orange c'est le jour et la nuit !
Problème survenu sur mon portable,2020-10-06T13:52:23Z,5,Problème survenu sur mon portable ! Je me suis rendu dans la boutique Orange la plus proche ok pour l’accueil merci à votre équipe
Excellente commerciale connaissant bien son produit…,2020-10-04T10:35:46Z,5,Excellente commerciale connaissant bien son produit De bons conseilsMerci à elle !Philippe LE BRETON
Orange rue de Rennes Paris 6e,2020-10-01T09:20:45Z,5,"Saïd nous a vraiment bien accompagné pour monter un package banque, internet, télé, téléphone et mobile. Doté d’une grande patience, d’un professionnalisme et d’un bon sens de l’humour, il a été tellement bien veillant envers nous. Encore une fois, mille merci à Saïd et l’équipe Orange rue de Rennes aussi !"
Bonne impression de la plateforme d'applications Mobil.,2020-09-30T17:49:23Z,5,"Comme je vien d'ouvrir mon compte chez orange bank j'ai pas tellement à dire, par compte j'ai déjà une bonne impression de la plateforme d'applications mobile."
Avec Orange bank l ouverture est simple…,2020-09-30T09:30:40Z,5,Avec Orange bank l ouverture est simple et facile....Rapide efficace la banque permet d alimenter son compte avec une cb
Ouverture simple et rapide,2020-09-30T09:11:13Z,5,
Très bonne expérience avec le vendeur…,2020-09-27T13:50:10Z,5,Très bonne expérience avec le vendeur en boutique.Très professionnel.
Je déconseille,2020-09-26T11:04:32Z,1,Même pas moyen d'acheter une baguette j'ai 50€ dessus mais ça ne veut pas marcher aucune aide c'est démerde toi ou dégage banque en ligne bidon!! Je déconseille fuyez!!
rapide simple ...rien a redire ...le…,2020-09-26T09:34:48Z,5,rapide simple ...rien a redire ...le sérieux est la
Après mes mésaventures de Juillet (pas…,2020-09-26T08:17:17Z,1,"Après mes mésaventures de Juillet (pas moyen d’accéder à mon compte,via l'application OBank, voilà 1 mois que j’ai demandé la clôture de mon compte (j’ai suivi à la lettre le process OBank, Profil, courrier avec attestation sur l’honneur que j’ai détruit mes moyens de paiement et mon RIB banque réceptrice). Mes demandes de relance sont indiquées « traitées » sans que rien ne soit fait, ni n’avance. Ma demande est toujours en cours. C’est insupportable et bien-sur personne au téléphone ni de réponse par mail. Banque à fuire ✅"
LA PIRE DES BANQUES EN LIGNE,2020-09-25T09:57:50Z,1,FRANCHEMENT cette banque est horrible. on est loin de boursorama banqueet hello bank.Carte qui fonctionne quand elle veut. virement qui met très longtemps pour arriver et attention au frais. Moi je fermais mon compte et ma femme va clôturer sa carte premium.
service client impossible a joindre au…,2020-09-23T13:43:15Z,1,"service client impossible a joindre au telephone, seulement par tchat mais pas a la hauteur je suis decu et ils vous remboursent pas ce qu'ils vous doivent.A fuir ou ne pas y aller c'est encore le mieux qui reste a faire"
ce n'est pas une banque ce sont des…,2020-09-16T17:41:42Z,1,ce n'est pas une banque ce sont des escrocscomme beaucoup le même problème reçu un virement de mon beau frère de 5000 euro sur le compte orange et le compte bloqué et carte bancaire bloqué sans explication le service client ce sont des incapables plusieurs agence fermé temporairement c'est une vrai catastrophe il y a certain des clients cela plus de deux mois que leur compte sont bloqué et aucune actions de la part d'orange a part leur robot sur Facebook qui envoi un message en vous disant qu'ils sont navré les raison d'un blocage peux être un virement bancaire sans justificatif mais le soucis c'est que tu peux rien leur fournir comme justificatif donc le compte reste bloqué avec l'argent et il travail avec tranquillement pendant plusieurs mois
"Jamais, jamais, jamais chez Orange",2020-09-16T08:35:49Z,1,"Je suis tellement mécontent avec Orange Bank. J'ai changé de numéro et de portable et je n'ai aucune manière d'entrer dans mon espace banc. De plus, à cause du covid, ils répondent plus au téléphone. Un cauchemar !"
service plus que médiocre,2020-09-14T08:04:30Z,1,"service plus que médiocreJ'ai mis à jour inapplication et depuis impossible de me reconnecter car je m'identifiais avec l'empreinte digital. j'ai malheureusement oublié mon code, et après 3 foistentatives j'ai bloqué mon compte.cela fait 2 semaines que je n'arrive pas avoir l'assistance pour débloquer la situation.j'ai essayé de les joindre par téléphone et sur le tchat sans aucun résultat."
Bonjour,2020-09-10T14:21:59Z,1,"Bonjour, Cette banque est une honte , elle n'hésite pas à clôturer les comptes de ses clients pendant les vacances ! Sans même laisser 1 mois de préavis.J'ai tout simplement était choquer par leurs méthodes. Je me suis retrouvé avec des paiements refusé sur tout mes factures mensuels.J'ai gentiment appeléen pensantà une erreur de leurs part .... Or il m'ont simplement dit que mon compte ne rapporte pas assez d'argent 🤨étant donné que je ne suis jamais a découvert .Un amis qui a ouvert sont compte en même temps que moi , qui lui est toujoursa découvert n'a eu aucune fermeture de compte 😑😑😑.Je suis désemparé et triste je décide d'ouvrir un nouveau compte bancaire et leurs demandes de me virer l'argent dessus. Cela fait maintenant 2 mois qu'ils sont impossibleà avoir au téléphone ☎,j'ai donc envoyéplus de 15 mails sans aucune réponse. En résumé mon compte mais impossible d'accès car fermé .PlU de 4000euro sur le compte immobilisé. Des numéros qui ne répondent jamais j'ai même appeléle service des actionnaires qui lui répond dans la seconde 🤣😂Malheureusement la damem'a dévié sur le numéro qui ne marche jamais .Je suis client chez eux avec mon offre mobile et internet depuis 3 ans plus le compte bancaire. Tous ça pour dire les banques en ligne on plus ou moins les mêmes prestations prenait ORANGE BANK Car au moins avec orange ,nous avonsle mérite de ne jamais nous ennuyer. 🤣😂🤣Mnt je rigole mais mettez-vous a ma place pendant le 1er septembre avec 10 payement qui ne passent pas ...."
J'ai posé un chèque de plus de 1500…,2020-09-05T21:25:32Z,1,"J'ai posé un chèque de plus de 1500 Euros chez ORANGE BANK qui a été débitépresque tout de suite chez l'émetteur (une personne physique et non une société) mais qui ne me sera crédité par ORANGE BANK que dans 2 mois. Ceci est ILLEGAL. A partir du moment où les fondssont retirés du compte du débiteur par SA banque, et transmis à la banque du créditeur, il n'existe AUCUNE possibilité de faire marche arrière. La banque du débiteur a pris sous sa PROPRE responsabilité la solvabilité du compte tiré. ORANGE BANK n'a plus aucun risque ni AUCUNE excuse de ne pas livrer les fonds. De plus elle a l'obligation légale de le faire 15 jours après le dépôt du chèque. Je suis étonné qu'ORANGE BANK n'ait pas encore été fermée par décision de Justice. Par ailleurs, dans l'ensemble le service est exécrable, tout est bidonné pour esquiver les responsabilités, le forum n'est même pas accessible et je ne comprends pas que les rares employés qu'ils semblent avoir, osent encore y rester car ils risquent manifestement de se trouver pris dans le coup de filet final, et jugés comme complices ou même acteurs de cette arnaque en ligne. Comme les juges ne pourront pas emprisonner des ordinateurs ni des logiciels, il faudra bien que quelqu'un assume la note judiciaire. Les préposés chargés de mettre des réponses dilatoires et passe-partout aux critiques sont les plus exposés car ils perpétuent l'escroquerie organisée présumée."
